ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-16 14:18:00,5.99,5.99,5.99,5.99,800.0,4792.0
002022.SZ,2026-03-16 14:19:00,5.99,6.0,6.0,5.99,700.0,4198.0
002022.SZ,2026-03-16 14:20:00,5.99,5.99,5.99,5.99,65900.0,394741.0
002022.SZ,2026-03-16 14:21:00,5.99,6.0,6.0,5.99,1000.0,5995.0
002022.SZ,2026-03-16 14:22:00,5.99,5.99,5.99,5.99,4600.0,27554.0
002022.SZ,2026-03-16 14:23:00,6.0,6.0,6.0,5.99,5000.0,29993.0
002022.SZ,2026-03-16 14:24:00,6.0,6.0,6.0,6.0,1000.0,6000.0
002022.SZ,2026-03-16 14:25:00,6.0,6.0,6.0,6.0,2800.0,16800.0
002022.SZ,2026-03-16 14:26:00,6.0,6.0,6.0,5.99,16300.0,97798.0
002022.SZ,2026-03-16 14:27:00,6.01,6.01,6.01,6.01,230300.0,1381804.0
002022.SZ,2026-03-16 14:28:00,6.0,6.01,6.01,6.0,12300.0,73802.0
002022.SZ,2026-03-16 14:29:00,6.0,6.01,6.01,6.0,3900.0,23426.0
002022.SZ,2026-03-16 14:30:00,6.0,6.01,6.01,6.0,3700.0,22236.0
002022.SZ,2026-03-16 14:31:00,6.0,6.01,6.01,6.0,2300.0,13810.0
002022.SZ,2026-03-16 14:32:00,6.01,6.0,6.01,6.0,113700.0,682471.0
002022.SZ,2026-03-16 14:33:00,6.0,6.0,6.0,6.0,3400.0,20400.0
002022.SZ,2026-03-16 14:34:00,6.01,6.01,6.01,6.01,1700.0,10217.0
002022.SZ,2026-03-16 14:35:00,6.0,6.0,6.0,6.0,4500.0,27000.0
002022.SZ,2026-03-16 14:36:00,6.0,6.0,6.0,6.0,110000.0,660000.0
002022.SZ,2026-03-16 14:37:00,6.0,6.01,6.01,6.0,25900.0,155401.0
002022.SZ,2026-03-16 14:38:00,6.0,6.0,6.0,6.0,1100.0,6600.0
002022.SZ,2026-03-16 14:39:00,6.0,6.0,6.0,5.99,4900.0,29388.0
002022.SZ,2026-03-16 14:40:00,6.0,5.99,6.0,5.99,9900.0,59339.0
002022.SZ,2026-03-16 14:41:00,5.99,5.99,6.0,5.99,16400.0,98393.0
002022.SZ,2026-03-16 14:42:00,6.0,6.0,6.0,6.0,21000.0,126022.0
002022.SZ,2026-03-16 14:43:00,5.99,6.0,6.01,5.99,53600.0,321468.0
002022.SZ,2026-03-16 14:44:00,6.0,6.01,6.01,5.99,5800.0,34789.0
002022.SZ,2026-03-16 14:45:00,6.0,6.0,6.0,5.99,33300.0,199679.0
002022.SZ,2026-03-16 14:46:00,6.0,6.0,6.01,6.0,56400.0,338402.0
002022.SZ,2026-03-16 14:47:00,6.0,6.0,6.01,6.0,48800.0,292801.0
002022.SZ,2026-03-16 14:48:00,6.0,6.01,6.01,6.0,13000.0,78094.0
002022.SZ,2026-03-16 14:49:00,6.0,6.0,6.01,5.99,166200.0,997479.0
002022.SZ,2026-03-16 14:50:00,6.0,6.01,6.01,5.99,47800.0,286531.0
002022.SZ,2026-03-16 14:51:00,6.0,6.0,6.0,5.99,136800.0,819825.0
002022.SZ,2026-03-16 14:52:00,6.0,6.0,6.01,6.0,37600.0,225952.0
002022.SZ,2026-03-16 14:53:00,6.0,6.0,6.0,6.0,800.0,4800.0
002022.SZ,2026-03-16 14:54:00,6.01,6.01,6.01,6.0,27900.0,167470.0
002022.SZ,2026-03-16 14:55:00,6.0,6.0,6.01,6.0,17700.0,106228.0
002022.SZ,2026-03-16 14:56:00,6.0,6.01,6.01,6.0,35200.0,211430.0
002022.SZ,2026-03-16 14:57:00,6.01,6.0,6.01,5.99,43100.0,258826.0
002022.SZ,2026-03-16 14:58:00,6.01,6.01,6.01,6.01,0.0,0.0
002022.SZ,2026-03-16 14:59:00,6.01,6.01,6.01,6.01,0.0,0.0
002022.SZ,2026-03-16 15:00:00,6.01,6.01,6.01,6.01,50500.0,303505.0
002022.SZ,2026-03-17 09:30:00,6.01,6.02,6.02,5.98,36100.0,217127.0
002022.SZ,2026-03-17 09:31:00,6.02,6.01,6.02,6.0,72800.0,437509.0
002022.SZ,2026-03-17 09:32:00,6.04,6.03,6.05,6.01,149300.0,900257.0
